rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
3/17/2020 10:03:49 AM,2019,2018,1,1,London Area Airports,GATWICK,46576473,46086089,1.064060784,0,0,,282896,283186,-0.102406192,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,1,London Area Airports,HEATHROW,80890031,80124537,0.955380248,0,0,,479811,480339,-0.109922367,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,1,London Area Airports,LONDON CITY,5122271,4820403,6.262297986,0,0,,80931,78037,3.708497251,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,1,London Area Airports,LUTON,18216207,16769634,8.626145329,0,0,,112745,106666,5.699098119,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,1,London Area Airports,SOUTHEND,2035535,1480139,37.523232615,0,0,,19162,17088,12.137172285,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,1,London Area Airports,STANSTED,28124292,27996116,0.457834937,0,0,,183566,185660,-1.127868146,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,ABERDEEN,2521222,2708261,-6.906239834,391661,347757,12.624907622,48464,55099,-12.041960834,29745,26453,12.444713265
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,BARRA,14599,14706,-0.727594179,0,0,,1366,1390,-1.726618705,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2455259,2511261,-2.230035030,0,0,,34625,35845,-3.403543033,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,BELFAST INTERNATIONAL,6278563,6269032,0.152033041,0,0,,47230,46116,2.415647498,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,BENBECULA,34691,35417,-2.049863060,0,0,,1974,1960,0.714285714,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,BIGGIN HILL,2262,1674,35.125448029,0,0,,325,202,60.891089109,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,BIRMINGHAM,12650607,12457051,1.553786687,0,0,,102515,104553,-1.949250619,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,BLACKPOOL,0,0,,15213,19321,-21.261839449,0,0,,4014,4724,-15.029635902
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,BOURNEMOUTH,803307,674972,19.013381296,0,0,,4973,4095,21.440781441,0,1,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,BRISTOL,8964242,8699529,3.042842894,0,0,,62556,66147,-5.428817633,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,CAMPBELTOWN,8086,8532,-5.227379278,0,0,,1064,1069,-0.467726848,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,CARDIFF WALES,1656085,1581213,4.735098940,0,0,,16688,17010,-1.893004115,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),203777,185843,9.650080982,0,0,,3063,2324,31.798623064,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,DONCASTER SHEFFIELD,1407862,1222347,15.176950571,0,0,,9520,8797,8.218710924,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,DUNDEE,20917,21185,-1.265046023,0,0,,1212,1215,-0.246913580,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4675411,4873831,-4.071130082,0,0,,56218,57133,-1.601526263,1,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,EDINBURGH,14737497,14294625,3.098171516,0,0,,127335,125428,1.520394170,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,EXETER,1021784,931265,9.720004510,0,0,,14528,13512,7.519242155,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,GLASGOW,8847100,9656796,-8.384727191,0,0,,79276,85883,-7.693024231,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,HUMBERSIDE,184931,172567,7.164753400,19532,19959,-2.139385741,4337,4246,2.143193594,3004,3372,-10.913404508
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,INVERNESS,938209,894360,4.902835547,23,0,,12731,12004,6.056314562,2,3,-33.333333333
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,ISLAY,34992,32775,6.764302059,0,0,,2021,1832,10.316593886,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,KIRKWALL,172591,181528,-4.923207439,34,34,0.000000000,11254,11836,-4.917201757,2,4,-50.000000000
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,LEEDS BRADFORD,3992862,4038889,-1.139595567,0,0,,29746,31525,-5.643140365,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,LERWICK (TINGWALL),3309,3881,-14.738469467,0,0,,904,955,-5.340314136,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),5045991,5046995,-0.019893025,0,0,,34976,35914,-2.611794843,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,MANCHESTER,29397357,28293413,3.901770352,0,0,,195926,194135,0.922553893,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,NEWCASTLE,5203624,5334095,-2.445981933,0,0,,40169,42412,-5.288597567,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,NEWQUAY,461478,456888,1.004622577,0,0,,8206,7631,7.535054383,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,NORWICH,448432,451017,-0.573149127,81896,85561,-4.283493648,9290,9658,-3.810312694,10439,10917,-4.378492260
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,OXFORD (KIDLINGTON),0,100,,0,0,,0,3,,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,PRESTWICK,640055,681715,-6.111058140,0,0,,4619,4827,-4.309094676,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,SCATSTA,59094,93365,-36.706474589,50386,81569,-38.228984050,1617,2892,-44.087136929,3203,5189,-38.273270380
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,SOUTHAMPTON,1781457,1991014,-10.525139452,0,0,,32529,35750,-9.009790210,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,STORNOWAY,131441,135700,-3.138540899,0,0,,5876,6903,-14.877589454,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,SUMBURGH,205019,221747,-7.543732271,62437,24121,158.849135608,8485,8915,-4.823331464,4115,1559,163.951250802
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,150735,142080,6.091638514,0,0,,3630,3802,-4.523934771,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,TIREE,12178,12625,-3.540594059,0,0,,1600,1769,-9.553420011,0,0,
3/17/2020 10:03:49 AM,2019,2018,1,3,Other UK Airports,WICK JOHN O GROATS,13149,16775,-21.615499255,0,0,,1397,1526,-8.453473132,0,0,
3/17/2020 10:03:49 AM,2019,2018,2,4,Non UK Reporting Airports,ALDERNEY,53155,53343,-0.352436121,0,0,,4702,4955,-5.105953582,0,0,
3/17/2020 10:03:49 AM,2019,2018,2,4,Non UK Reporting Airports,GUERNSEY,882374,837615,5.343624458,0,0,,23030,20930,10.033444816,0,0,
3/17/2020 10:03:49 AM,2019,2018,2,4,Non UK Reporting Airports,ISLE OF MAN,854676,836656,2.153812320,0,0,,13530,14097,-4.022132369,0,0,
3/17/2020 10:03:49 AM,2019,2018,2,4,Non UK Reporting Airports,JERSEY,1762949,1664175,5.935313293,0,0,,24972,23828,4.801074366,0,0,

