rundate,report_period,airport_name,this_year_pax,this_year_total_pax,Five_years_prev_pax,Five_years_prev_pax_total
16/04/2021 16:27,2020,HEATHROW,22109550,73761978,74953708,251478321
16/04/2021 16:27,2020,GATWICK,10171867,73761978,40260068,251478321
16/04/2021 16:27,2020,STANSTED,7536869,73761978,22513443,251478321
16/04/2021 16:27,2020,MANCHESTER,7029384,73761978,23094593,251478321
16/04/2021 16:27,2020,LUTON,5550401,73761978,12262581,251478321
16/04/2021 16:27,2020,EDINBURGH,3473652,73761978,11113386,251478321
16/04/2021 16:27,2020,BIRMINGHAM,2865845,73761978,10180059,251478321
16/04/2021 16:27,2020,BRISTOL,2192725,73761978,6781195,251478321
16/04/2021 16:27,2020,GLASGOW,1944981,73761978,8709531,251478321
16/04/2021 16:27,2020,BELFAST INTERNATIONAL,1746951,73761978,4389861,251478321
16/04/2021 16:27,2020,LIVERPOOL (JOHN LENNON),1337669,73761978,4295763,251478321
16/04/2021 16:27,2020,NEWCASTLE,1061146,73761978,4559841,251478321
16/04/2021 16:27,2020,ABERDEEN,994076,73761978,3469328,251478321
16/04/2021 16:27,2020,LONDON CITY,908105,73761978,4319301,251478321
16/04/2021 16:27,2020,EAST MIDLANDS INTERNATIONAL,900832,73761978,4446219,251478321
16/04/2021 16:27,2020,LEEDS BRADFORD,751048,73761978,3445291,251478321
16/04/2021 16:27,2020,BELFAST CITY (GEORGE BEST),542523,73761978,2692713,251478321
16/04/2021 16:27,2020,SOUTHEND,401143,73761978,900634,251478321
16/04/2021 16:27,2020,DONCASTER SHEFFIELD,338586,73761978,856592,251478321
16/04/2021 16:27,2020,SOUTHAMPTON,296094,73761978,1775638,251478321
16/04/2021 16:27,2020,INVERNESS,239987,73761978,667560,251478321
16/04/2021 16:27,2020,CARDIFF WALES,219197,73761978,1158383,251478321
16/04/2021 16:27,2020,BOURNEMOUTH,175907,73761978,705433,251478321
16/04/2021 16:27,2020,EXETER,147921,73761978,821165,251478321
16/04/2021 16:27,2020,NORWICH,120258,73761978,459664,251478321
16/04/2021 16:27,2020,SUMBURGH,113951,73761978,270126,251478321
16/04/2021 16:27,2020,PRESTWICK,90608,73761978,609589,251478321
16/04/2021 16:27,2020,CITY OF DERRY (EGLINTON),80494,73761978,284482,251478321
16/04/2021 16:27,2020,NEWQUAY,67877,73761978,250278,251478321
16/04/2021 16:27,2020,KIRKWALL,54638,73761978,149524,251478321
16/04/2021 16:27,2020,HUMBERSIDE,45075,73761978,221190,251478321
16/04/2021 16:27,2020,STORNOWAY,43093,73761978,124984,251478321
16/04/2021 16:27,2020,ISLES OF SCILLY (ST.MARYS),41766,73761978,94718,251478321
16/04/2021 16:27,2020,TEESSIDE INTERNATIONAL AIRPORT,37141,73761978,140373,251478321
16/04/2021 16:27,2020,SCATSTA,35624,73761978,253526,251478321
16/04/2021 16:27,2020,LANDS END (ST JUST),34556,73761978,53704,251478321
16/04/2021 16:27,2020,BENBECULA,12713,73761978,32125,251478321
16/04/2021 16:27,2020,BLACKPOOL,11412,73761978,33494,251478321
16/04/2021 16:27,2020,ISLAY,8693,73761978,28993,251478321
16/04/2021 16:27,2020,DUNDEE,8647,73761978,21942,251478321
16/04/2021 16:27,2020,BARRA,6140,73761978,10658,251478321
16/04/2021 16:27,2020,TIREE,5221,73761978,9564,251478321
16/04/2021 16:27,2020,CAMPBELTOWN,2108,73761978,8288,251478321
16/04/2021 16:27,2020,WICK JOHN O GROATS,1913,73761978,24152,251478321
16/04/2021 16:27,2020,BIGGIN HILL,1845,73761978,644,251478321
16/04/2021 16:27,2020,LERWICK (TINGWALL),1227,73761978,4175,251478321
16/04/2021 16:27,2020,OXFORD (KIDLINGTON),514,73761978,166,251478321
16/04/2021 16:27,2020,GLOUCESTERSHIRE,5,73761978,12253,251478321
16/04/2021 16:27,2020,CAMBRIDGE,0,73761978,5799,251478321
16/04/2021 16:27,2020,LYDD,0,73761978,1134,251478321
16/04/2021 16:27,2020,SHOREHAM,0,73761978,490,251478321

